"temp","alphas","xmins","ks_stats","naccept"
"1",0.5,2.14230281980626,0.0640170454088652,0.0559668177210905,339731
"2",0.525,2.17246666011481,0.0446582164897816,0.0503741245957951,290389
"3",0.55,2.05426731140732,0.0422455369331401,0.0553540480478852,249837
"4",0.575,1.99461569725539,0.0257689215547881,0.0450538444563868,214119
"5",0.6,1.95169298878128,0.0218983284423402,0.0439135575743576,180733
"6",0.625,1.85836551332832,0.019823329233544,0.046157693173392,155031
"7",0.65,1.83593310191441,0.0143848027451647,0.0438185726594725,131704
"8",0.675,1.78539939801469,0.0132387409883943,0.0436605904348674,111946
"9",0.7,1.79216187618001,0.00719499001547848,0.035481228626123,93897
"10",0.725,1.72815985322259,0.00738507954544452,0.037199275953735,79346
"11",0.75,1.70846537060828,0.00395837807346945,0.0277151285295619,67094
"12",0.775,1.68369905127722,0.00435956612513564,0.0294561730962659,56904
"13",0.8,1.66679478917596,0.00306921962444391,0.0253002921740132,48469
"14",0.825,1.64790438591034,0.00237042989450483,0.0252501031367565,41349
"15",0.85,1.62287199162535,0.00183864757813615,0.0211416599608107,35035
"16",0.875,1.6094539964451,0.00157546710114503,0.0209892603051583,30227
"17",0.9,1.59280301771292,0.000829765010645794,0.0145155310800381,25410
"18",0.925,1.57484338251289,0.000803530414495847,0.0153879220512229,21585
"19",0.95,1.55625423894396,0.000749562088807241,0.013298830068139,18351
"20",0.975,1.53774998027987,0.00112178466201737,0.018790992237868,15742
"21",1,1.5283352030135,0.00117145338231418,0.0212789267482036,13629
"22",1.025,1.52085800641119,0.00150093463720901,0.0249524107742655,11353
"23",1.05,1.52111303610094,0.00186660169638293,0.0277542363206658,9989
"24",1.075,1.52618029372148,0.00249093325144092,0.0414652205054418,8451
"25",1.1,1.52870195268768,0.00320782913281739,0.0472884033231243,6900
"26",1.125,1.52728266713501,0.00286077240981798,0.0477342675975027,5917
"27",1.15,1.53218636729808,0.00398261744768105,0.0554630688358466,5440
"28",1.175,1.54014626215223,0.00614041466732106,0.0629091560989278,4769
"29",1.2,1.54877669652402,0.00759477355408456,0.0680707251918838,3926
"30",1.225,1.55042074793214,0.00787471701366033,0.0709955328331722,3717
"31",1.25,1.56538024365891,0.0123562618836052,0.0808440093539555,2826
"32",1.275,1.58251126119404,0.0164026642106565,0.0917983079972653,2361
"33",1.3,1.59645632774265,0.0212866227891872,0.101544424650804,2364
"34",1.325,1.58972501346688,0.0162441804847629,0.094943901594225,1965
"35",1.35,1.62406095518534,0.0264168955236354,0.110962605525314,1817
"36",1.375,26.903439928035,1.02519281950581,0.120759954445307,1601
"37",1.4,1.64884937202447,0.0389321236471093,0.12093519777957,1306
"38",1.425,30.1945408766088,0.966337480808613,0.1132169555156,1273
"39",1.45,34.1250178461251,0.999939714370155,0.134961236414584,1066
"40",1.475,131.240999348164,1.05352193127567,0.0676000941144221,987
"41",1.5,29.9668461221359,0.878755837565601,0.0846685347372549,847
"42",1.525,57.4550845301107,0.890718196182693,0.077059035261282,816
"43",1.55,31.9961273380161,0.97602466971382,0.106674630307201,649
"44",1.575,12.5704070942628,0.826108800468583,0.15762862372176,689
"45",1.6,48.8469046789056,0.86159557334037,0.1160432219318,607
"46",1.625,17.1083227277807,0.83121207129885,0.141503309890912,566
"47",1.65,25.9136243843655,0.800896064644754,0.137487051992643,563
"48",1.675,47.64784506258,0.930314552142423,0.129443939970534,484
"49",1.7,88.4416623960216,0.865459865113883,0.130874721679152,493
"50",1.725,85.5393611671752,0.896282849024001,0.111716681289611,438
"51",1.75,49.8646005018825,0.942335444155441,0.147587738879836,432
"52",1.775,54.2450817329383,0.9051444818649,0.145326942532719,386
"53",1.8,17.9614463899852,0.815535093774367,0.134579146379745,403
"54",1.825,21.126512321866,0.916001440130265,0.152160212709769,394
"55",1.85,30.8808998535994,0.811011719417083,0.118414088298142,395
"56",1.875,31.0078582619376,0.944773141244837,0.138728659583321,393
"57",1.9,48.266151008951,0.980862019926972,0.149587655590742,367
"58",1.925,13.3228374500867,0.875500387482048,0.153548816039392,406
"59",1.95,27.9544988331993,0.902447630330447,0.159905165360387,369
"60",1.975,32.8614472570191,0.886377561300115,0.146387658641672,328
"61",2,7.56243465838357,0.798215594757914,0.168426426711625,337
