"temp","alphas","xmins","ks_stats","naccept"
"1",0.5,1.57960341666631,0.00214685984174826,0.0420799248237577,281899
"2",0.525,1.53859624376296,0.00111767879455433,0.0464742257353526,245449
"3",0.55,1.59724019250226,0.00224598264166748,0.0308130695623979,215714
"4",0.575,1.59668269649804,0.0021655948121666,0.0362977715349601,183584
"5",0.6,1.55670375719621,0.000588313405503096,0.019730011581291,159246
"6",0.625,1.57354531285339,0.00145750295605276,0.0273736382333539,137350
"7",0.65,1.56967570590296,0.00126654824114597,0.0223239945971992,117839
"8",0.675,1.53252903266474,0.000969675368529054,0.026321344439343,101145
"9",0.7,1.53467305341226,0.000147159450917687,0.0244307631273768,85313
"10",0.725,1.53481473880819,0.000397726002819658,0.0147184830921347,73430
"11",0.75,1.55379706433602,0.000612822515169522,0.0181113325573403,63236
"12",0.775,1.53798549760442,0.0011376105774878,0.0263873239918443,53607
"13",0.8,1.5274012279101,0.000659261636411807,0.0144068703392077,45417
"14",0.825,1.55686146207418,0.000365294714132056,0.0117609692150721,39056
"15",0.85,1.54237484370924,0.000533419444662153,0.0133581068637157,33004
"16",0.875,1.53477858482059,0.000586451606045952,0.0153196378558889,27598
"17",0.9,1.55868842142431,0.000365966097012822,0.0144354914774024,24133
"18",0.925,1.5444915129553,0.000488850584074634,0.0150521623208647,20587
"19",0.95,1.5494243027798,0.000276242194675455,0.0120625157672802,17639
"20",0.975,1.54354052381854,0.000416987557963148,0.0135412744667873,15314
"21",1,1.54443285428741,0.000445484292030808,0.0138843765618063,12972
"22",1.025,1.54192694213865,0.00057727466694474,0.0149637896807464,11046
"23",1.05,1.53960990970352,0.000862532185323944,0.0201736646205002,9245
"24",1.075,1.54761541823937,0.000752318083501139,0.0203181371035566,8408
"25",1.1,1.5443093166707,0.00109265593180935,0.0247559527719282,7021
"26",1.125,1.54296101940996,0.0011545777666971,0.0255440505148405,6039
"27",1.15,1.54288244559789,0.00235881613258901,0.0355421075781137,4961
"28",1.175,1.54464364535604,0.00256215346680558,0.0366005158595716,4472
"29",1.2,1.55181929979441,0.00431414895236803,0.0483237271157793,3888
"30",1.225,1.55002199848585,0.003651222907191,0.0452179258590238,3364
"31",1.25,1.55274077368923,0.00476201463042879,0.0489149895272083,3048
"32",1.275,1.56050786334003,0.00649252263064471,0.0580136742591866,2552
"33",1.3,1.56715818866044,0.00861564389999475,0.0661719279853369,2156
"34",1.325,1.57556171600991,0.0101115219861635,0.0750181615967411,1945
"35",1.35,1.57430939562022,0.010675957434141,0.0719312398518566,1776
"36",1.375,1.57497528511783,0.0136937827873431,0.0856447304292727,1641
"37",1.4,1.59731078650064,0.0235469756728714,0.09993549173847,1391
"38",1.425,1.61140203386903,0.0240330607540332,0.105510604139706,1192
"39",1.45,1.60765751261156,0.0198832509828732,0.10763674431759,1049
"40",1.475,1.63085955968718,0.035196168096166,0.113083525825337,983
"41",1.5,1.65317006910172,0.0428152722727879,0.122594238835385,905
"42",1.525,1.686370710654,0.0512076893386236,0.132805681810873,759
"43",1.55,1.69328945977874,0.0619362077400073,0.137730955601807,751
"44",1.575,1.73032127709668,0.0764225944274462,0.15532231226427,705
"45",1.6,25.362348667639,0.998287802763724,0.149255542613887,673
"46",1.625,37.043631127115,0.846891963620615,0.114255126430347,561
"47",1.65,62.9025904756797,0.926779566025338,0.0795190884094286,567
"48",1.675,48.0231193561758,1.13051889034616,0.0800466183996045,556
"49",1.7,8.31124214402811,0.824366468417336,0.157271069125881,498
"50",1.725,34.9749937556316,1.00314731417394,0.103339396611544,446
"51",1.75,7.41601667362985,0.685064188652118,0.161439300252368,401
"52",1.775,9.1236058735358,0.804752945037388,0.152081944447359,434
"53",1.8,41.5308559828448,0.951220610765245,0.17047752844543,413
"54",1.825,8.30335443428267,0.761047051212698,0.181826837148662,396
"55",1.85,9.28153185555618,0.636375187113126,0.139012485267795,360
"56",1.875,15.1503871809139,0.939697824194015,0.122776989682905,402
"57",1.9,27.1486851978804,0.89557501283576,0.148194802152678,357
"58",1.925,19.3040204488001,0.852955551733472,0.130655864211888,338
"59",1.95,25.0149155296481,0.855763801878751,0.101859075016522,333
"60",1.975,7.99016812117507,0.738286179403739,0.144454266125385,334
"61",2,10.4966768585486,0.857549751349622,0.144249351221985,342
